"","X","schlcode","c_size","c_boys","c_girls","c_numcl","c_pik","c_status","c_leom","c_tip","c_num4rd","c_type","flgrm4","mrkgrm4","ngrm4","flmth4","mrkmth4","nmth4","towncode","popcode","tip_a","grade","classid","classize","X_type_","X_freq_","cohsize","mathsize","avgmath","passmath","verbsize","avgverb","passverb","studchk","misskov2","missagg","nmiss_k","nmiss_a","classct","math_n","flmath_n","nmath_n","verb_n","flverb_n","nverb_n","impute","nverb_m","nmath_m","tip_s","townid","tipuach"
"11",11,11015,89,35,54,17,1,1,1,1,3,3,5,84,85,8.23999977111816,80,85,30007,11,6,4,3,29,0,3,89,28,78.9274978637695,10.6999998092651,28,86.0753555297852,8,NA,1,0,1,0,3,80.5268402099609,7.03157901763916,57,82.9805297851562,3.52631568908691,57,1,28,28,6,30007,6
"12",12,11017,85,43,42,14,1,1,1,2,3,3,27,68,75,30.2600002288818,66,76,30007,11,9,4,1,29,0,3,85,27,72.8899993896484,11.1000003814697,27,74.8499984741211,22.2000007629395,1,0,0,0,0,3,66.3302459716797,31.7048778533936,82,64.1211090087891,30.854320526123,81,0,NA,NA,9,30007,9
"13",13,11017,85,43,42,14,1,1,1,2,3,3,27,68,75,30.2600002288818,66,76,30007,11,9,4,2,28,0,3,85,28,67.4300003051758,42.9000015258789,28,62.9599990844727,32.0999984741211,1,0,0,0,0,3,66.3302459716797,31.7048778533936,82,64.1211090087891,30.854320526123,81,0,NA,NA,9,30007,9
"14",14,11017,85,43,42,14,1,1,1,2,3,3,27,68,75,30.2600002288818,66,76,30007,11,9,4,3,28,0,3,85,27,58.6300010681152,40.7000007629395,26,54.2299995422363,38.5,1,0,0,0,0,3,66.3302459716797,31.7048778533936,82,64.1211090087891,30.854320526123,81,0,NA,NA,9,30007,9
"15",15,11020,74,32,42,14,1,1,1,1,2,2,17,75,69,18.3099994659424,76,71,30007,11,5,4,1,38,0,2,74,36,76.3899993896484,19.3999996185303,36,75.8099975585938,13.8999996185303,1,0,0,0,0,2,76.0153503417969,18.2661972045898,71,74.8582611083984,17.3913040161133,69,0,NA,NA,5,30007,5
"16",16,11020,74,32,42,14,1,1,1,1,2,2,17,75,69,18.3099994659424,76,71,30007,11,5,4,2,36,0,2,74,35,75.629997253418,17.1000003814697,33,73.8199996948242,21.2000007629395,1,0,0,0,0,2,76.0153503417969,18.2661972045898,71,74.8582611083984,17.3913040161133,69,0,NA,NA,5,30007,5
"17",17,11021,66,31,35,12,1,1,1,2,2,2,17,75,65,26.1499996185303,71,65,30007,11,11,4,2,34,0,2,65,34,71.2900009155273,17.6000003814697,34,75.3499984741211,14.6999998092651,1,0,0,1,0,2,71.2900009155273,17.6000003814697,34,75.3499984741211,14.6999998092651,34,0,NA,NA,11,30007,11
"18",18,11021,66,31,35,12,1,1,1,2,2,2,17,75,65,26.1499996185303,71,65,30007,11,11,4,1,31,0,2,65,31,70.6819381713867,35.5274200439453,31,74.6161270141602,19.5225811004639,NA,1,0,1,0,2,71.2900009155273,17.6000003814697,34,75.3499984741211,14.6999998092651,34,1,31,31,11,30007,11
"19",19,11027,96,48,48,18,1,1,1,1,3,3,10,77,93,22.5799999237061,71,93,30007,11,5,4,1,33,0,3,96,31,68.129997253418,16.1000003814697,31,76.6100006103516,6.5,1,0,0,0,0,3,71.1401062011719,22.5795707702637,93,76.6132278442383,9.7215051651001,93,0,NA,NA,5,30007,5
"20",20,11027,96,48,48,18,1,1,1,1,3,3,10,77,93,22.5799999237061,71,93,30007,11,5,4,2,32,0,3,96,30,71.1999969482422,30,30,75.5,16.7000007629395,1,0,0,0,0,3,71.1401062011719,22.5795707702637,93,76.6132278442383,9.7215051651001,93,0,NA,NA,5,30007,5
"21",21,11027,96,48,48,18,1,1,1,1,3,3,10,77,93,22.5799999237061,71,93,30007,11,5,4,3,31,0,3,96,32,74,21.8999996185303,32,77.6600036621094,6.30000019073486,1,0,0,0,0,3,71.1401062011719,22.5795707702637,93,76.6132278442383,9.7215051651001,93,0,NA,NA,5,30007,5
"22",22,11029,87,39,48,14,1,1,1,2,3,3,27,65,82,47.560001373291,60,82,30007,11,11,4,1,31,0,3,87,30,61.5699996948242,50,30,66.2300033569336,13.3000001907349,1,0,0,0,0,3,59.6967086791992,47.574390411377,82,64.753662109375,26.8012199401855,82,0,NA,NA,11,30007,11
"23",23,11029,87,39,48,14,1,1,1,2,3,3,27,65,82,47.560001373291,60,82,30007,11,11,4,2,26,0,3,87,27,55.8899993896484,59.2999992370605,27,61.7000007629395,48.0999984741211,1,0,0,0,0,3,59.6967086791992,47.574390411377,82,64.753662109375,26.8012199401855,82,0,NA,NA,11,30007,11
"24",24,11029,87,39,48,14,1,1,1,2,3,3,27,65,82,47.560001373291,60,82,30007,11,11,4,3,30,0,3,87,25,61.560001373291,32,25,66.2799987792969,20,1,0,0,0,0,3,59.6967086791992,47.574390411377,82,64.753662109375,26.8012199401855,82,0,NA,NA,11,30007,11
"25",25,11031,73,36,37,13,1,1,1,2,2,2,13,77,68,25.3500003814697,72,71,30007,11,12,4,1,36,0,2,73,35,68.2600021362305,31.3999996185303,32,75.9400024414062,18.7999992370605,1,0,0,0,0,2,71.7636642456055,25.3154926300049,71,76.75,13.2411766052246,68,0,NA,NA,12,30007,12
"26",26,11031,73,36,37,13,1,1,1,2,2,2,13,77,68,25.3500003814697,72,71,30007,11,12,4,2,37,0,2,73,36,75.1699981689453,19.3999996185303,36,77.4700012207031,8.30000019073486,1,0,0,0,0,2,71.7636642456055,25.3154926300049,71,76.75,13.2411766052246,68,0,NA,NA,12,30007,12
"27",27,11032,80,40,40,19,1,1,1,4,3,3,27,62,73,50,61,80,30007,11,13,4,1,29,0,3,87,26,65.8499984741211,50,23,62.0400009155273,30.3999996185303,1,0,0,1,0,3,64.2300033569336,49.0320739746094,53,62.2044906616211,26.5265312194824,49,0,NA,NA,13,30007,13
